Arbol,Altura,DAP,LtNG,LtNM,LtNS,LngOG,LngOM,LngOS,Especie,Acronimo,Crecimiento,Rep,Trep,Orientaci_n,Cobertura
43,17,21,19,29,16.4,97,2,24.1,Cladonia coniocraea,ClCon,Com,Sex,Apot,Norte,4
43,17,21,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,4
43,17,21,19,29,16.4,97,2,24.1,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Sur,20
43,17,21,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,20
43,17,21,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,20
43,17,21,19,29,16.4,97,2,24.1,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Norte,12
43,17,21,19,29,16.4,97,2,24.1,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sur,16
43,17,21,19,29,16.4,97,2,24.1,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Norte,8
45,15,17,19,29,16.4,97,2,24.1,Cladonia coniocraea,ClCon,Com,Sex,Apot,Norte,16
45,15,17,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Norte,12
45,15,17,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,4
45,15,17,19,29,16.4,97,2,24.1,Heterodermia cf. isidiophora,HeIsi,Fol,Asex,Isid,Sur,148
45,15,17,19,29,16.4,97,2,24.1,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sur,8
45,15,17,19,29,16.4,97,2,24.1,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sur,76
47,20,31,19,29,16.4,97,2,24.1,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Este,20
47,20,31,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Oeste,44
47,20,31,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Oeste,4
47,20,31,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Este,16
47,20,31,19,29,16.4,97,2,24.1,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Este,28
47,20,31,19,29,16.4,97,2,24.1,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Oeste,12
47,20,31,19,29,16.4,97,2,24.1,Remototrachyna cf. costaricensis,ReCst,Fol,Asex,Isid,Oeste,56
47,20,31,19,29,16.4,97,2,24.1,Syncesia farinacea,SyFa,Cos,Sex,Apot,Este,48
47,20,31,19,29,16.4,97,2,24.1,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Oeste,36
51,10,44,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Oeste,68
51,10,44,19,29,16.4,97,2,24.1,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Oeste,20
54,20,22,19,29,16.4,97,2,24.1,Graphis sp.,GrSp,Cos,Sex,Lirel,Norte,72
54,20,22,19,29,16.4,97,2,24.1,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,Norte,28
54,20,22,19,29,16.4,97,2,24.1,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Norte,480
54,20,22,19,29,16.4,97,2,24.1,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,24
54,20,22,19,29,16.4,97,2,24.1,Pertusaria sp.,PeSp,Cos,NaN,NaN,Norte,32
54,20,22,19,29,16.4,97,2,24.1,Phyllopsora cf. swinscowii,PhSwi,Cos,Asex,Isid,Norte,24
58,18,17,19,29,16.4,97,2,24.1,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Oeste,24
58,18,17,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Este,12
58,18,17,19,29,16.4,97,2,24.1,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,Este,72
58,18,17,19,29,16.4,97,2,24.1,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Este,44
58,18,17,19,29,16.4,97,2,24.1,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Este,8
58,18,17,19,29,16.4,97,2,24.1,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Este,24
58,18,17,19,29,16.4,97,2,24.1,Phyllopsora cf. swinscowii,PhSwi,Cos,Asex,Isid,Este,16
58,18,17,19,29,16.4,97,2,24.1,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Oeste,8
58,18,17,19,29,16.4,97,2,24.1,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,Oeste,36
62,20,20,19,29,16.4,97,2,24.1,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Norte,8
62,20,20,19,29,16.4,97,2,24.1,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,16
62,20,20,19,29,16.4,97,2,24.1,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Sur,104
62,20,20,19,29,16.4,97,2,24.1,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Norte,8
64,15,19,19,29,17.9,97,2,25.8,Cresponea chloroconia,CrChl,Cos,Sex,Apot,Sur,24
64,15,19,19,29,17.9,97,2,25.8,Cresponea chloroconia,CrChl,Cos,Sex,Apot,Norte,24
64,15,19,19,29,17.9,97,2,25.8,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,68
64,15,19,19,29,17.9,97,2,25.8,Pertusaria sp.,PeSp,Cos,NaN,NaN,Sur,8
64,15,19,19,29,17.9,97,2,25.8,Pertusaria ventosa,PeVen,Cos,Sex,Apot,Norte,24
64,15,19,19,29,17.9,97,2,25.8,Phlyctis boliviensis,PhBol,Cos,Sex,Apot,Sur,56
64,15,19,19,29,17.9,97,2,25.8,Thelotrema lepadium,ThLep,Cos,Sex,Apot,Sur,24
66,15.1,38,19,29,17.9,97,2,25.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,8
69,12.6,30,19,29,17.9,97,2,25.8,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Noroeste,60
69,12.6,30,19,29,17.9,97,2,25.8,Graphis leptoclada,GrLep,Cos,Sex,Lirel,Sureste,24
69,12.6,30,19,29,17.9,97,2,25.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noroeste,52
69,12.6,30,19,29,17.9,97,2,25.8,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Noroeste,36
69,12.6,30,19,29,17.9,97,2,25.8,Megalaria bengalensis,MeBen,Cos,Sex,Apot,Noroeste,52
69,12.6,30,19,29,17.9,97,2,25.8,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Sureste,84
69,12.6,30,19,29,17.9,97,2,25.8,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,72
72,10,19,19,29,17.9,97,2,25.8,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,72
72,10,19,19,29,17.9,97,2,25.8,Graphis leptoclada,GrLep,Cos,Sex,Lirel,Norte,8
72,10,19,19,29,17.9,97,2,25.8,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Norte,4
72,10,19,19,29,17.9,97,2,25.8,Parmotrema sp. ,PaSp,Fol,NaN,NaN,Sur,32
72,10,19,19,29,17.9,97,2,25.8,Porina distans,PorDi,Cos,Asex,Isid,Norte,4
73,20,59,19,29,17.9,97,2,25.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Este,72
76,15.1,18,19,29,17.9,97,2,25.8,Cladonia coniocraea,ClCon,Com,Sex,Apot,Sur,8
76,15.1,18,19,29,17.9,97,2,25.8,Cladonia coniocraea,ClCon,Com,Sex,Apot,Norte,8
76,15.1,18,19,29,17.9,97,2,25.8,Cresponea sp.,CrChl,Cos,Sex,Apot,Sur,24
