Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
16,15,45,19,29,13.1,97,2,20.7,Cresponea chloroconia,CrChl,Cos,Sex,apot,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Noreste,22,
16,15,45,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noreste,4,
16,15,45,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Suroeste,16,
16,15,45,19,29,13.1,97,2,20.7,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Suroeste,32,
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noreste,200,
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. rubicunda,UsRub,Frut,Asex,Sor,Noreste,52,
16,15,45,19,29,13.1,97,2,20.7,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Noreste,284,
17,16,49,19,29,13.1,97,2,20.7,Graphis mexicana,GrMex,Cos,Sex,Lirel,Suroeste,68,
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Noreste,12,
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna cf. neocrenata,HyNeo,Fol,Asex,Isid,Suroeste,38.68,
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna cf. pseudosinuosa,HyPse,Fol,Asex,Sor,NaN,NaN,
17,16,49,19,29,13.1,97,2,20.7,Hypotrachyna sp. isidiada,HyIsi,Fol,Asex,Isid,Suroeste,77.36,
